isolation_method,traffic_pattern,samples,unique_experiments,unique_tenants,p50_ms_mean,p50_ms_std,p50_ms_min,p50_ms_max,p95_ms_mean,p95_ms_std,p95_ms_min,p95_ms_max,p99_ms_mean,p99_ms_std,p99_ms_min,p99_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_min,jitter_ms_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,packet_drops_mean,packet_drops_std,packet_drops_min,packet_drops_max,tail_amplification_mean,tail_amplification_std,tail_amplification_min,tail_amplification_max,isolation_score_mean,isolation_score_std,isolation_score_min,isolation_score_max
adaptive,bursty,24,12,2,0.7357916666666666,0.053921020476947225,0.664,0.838,3.0767083333333334,2.231149683735245,0.869,6.433,5.357125,2.9198366141380014,1.44,10.263,1.119625,0.7316890413699453,0.26,2.369,23.122916666666665,4.332556920689501,15.599,29.49,0.0,0.0,0.0,0.0,7.057470833333333,3.418801074681409,2.1239,12.247,3.9375958333333334,2.1795245884644237,0.9467,8.3169
adaptive,constant,24,12,2,0.7729583333333333,0.14616294634433846,0.621,1.136,3.6654583333333335,2.75285383902923,0.775,8.461,5.7845,4.375678769705584,1.008,15.122,1.2735,1.0353784857218409,0.1,3.094,22.87591666666667,6.632792309340055,15.44,33.624,0.0,0.0,0.0,0.0,6.831545833333333,4.288054811153904,1.5739,15.3785,4.2521375,3.2897356877854382,0.6627,10.8687
adaptive,delayed_start,24,12,2,0.7875,0.1340950344377806,0.643,1.12,3.6538749999999998,2.6768206532718266,0.788,9.017,5.892083333333333,4.212758323047478,0.967,13.072,1.263125,0.9871357913945649,0.098,2.984,22.363458333333334,5.912914994934296,15.344,31.548,0.0,0.0,0.0,0.0,6.9029750000000005,4.173899082158489,1.4652,13.6309,4.339170833333333,3.186053287509713,0.6706,9.919
adaptive,intermittent,24,12,2,0.7365416666666667,0.059612501728402906,0.661,0.833,2.999458333333333,2.382129755513215,0.81,6.554,4.861916666666667,3.472475935580894,1.01,10.365,1.0797916666666667,0.9254106951565585,0.127,3.023,24.030458333333332,5.552416207140711,16.34,32.149,0.0,0.0,0.0,0.0,6.2982458333333335,4.132897693636855,1.4659,13.1037,3.5810375,2.6138827106537024,0.664,8.3995
ebpf,bursty,24,12,2,0.7366666666666667,0.05287858666356574,0.667,0.857,3.200875,2.2219864068871584,0.824,6.925,5.5240833333333335,2.769363070967868,1.124,12.2,1.204875,0.7030237371525943,0.161,2.429,22.716,3.985916783965221,16.026,30.112,0.0,0.0,0.0,0.0,7.390916666666667,3.6204683888266107,1.6652,18.2909,4.091770833333333,2.1942814419539767,0.739,9.8865
ebpf,constant,32,12,2,0.75071875,0.1275711653068276,0.615,1.081,3.0124375,2.59498662980582,0.766,8.88,4.6301875,3.795317934215024,0.949,13.345,1.05571875,0.9499310411092498,0.091,3.03,24.04734375,5.919911995909612,15.764,31.425,0.0,0.0,0.0,0.0,5.62896875,3.775897260035921,1.4898,12.3451,3.4215593749999997,2.922315056965511,0.6713,10.8144
ebpf,delayed_start,24,12,2,0.7677916666666667,0.1140312616048266,0.652,1.004,3.5963333333333334,2.6733943521895234,0.773,8.193,5.602333333333333,3.948699088656114,0.949,13.165,1.22675,0.9291190895728575,0.093,3.026,22.637291666666666,5.888771263870622,15.917,31.585,0.0,0.0,0.0,0.0,6.775195833333333,4.049395682608667,1.4511,14.388,4.119041666666667,2.9660957290418963,0.6785,10.6686
ebpf,intermittent,24,12,2,0.7319166666666667,0.06167722197168844,0.651,0.886,2.8726249999999998,2.4072914928445495,0.791,7.084,4.936958333333333,3.7021028863062546,0.897,11.333,1.073125,0.8889360671734156,0.079,2.581,24.108125,5.384266146859513,15.971,31.887,0.0,0.0,0.0,0.0,6.409983333333333,4.381230568812996,1.3309,13.8993,3.6334833333333334,2.7630359683360695,0.5897,9.0559
none,bursty,24,12,2,0.7240833333333333,0.06587862137008627,0.636,0.844,3.1784166666666667,2.266136319562568,0.89,6.719,5.106333333333334,2.451508881709681,1.594,9.9,1.047625,0.7379859673757206,0.174,2.242,23.256625,4.62425689271072,16.252,30.615,0.0,0.0,0.0,0.0,6.845495833333334,2.7576181271523574,2.4188,12.4372,3.7473041666666664,1.8084248131355898,1.048,7.3355
none,constant,321,67,9,0.6953021806853583,0.051452456466914674,0.589,0.996,1.4727943925233644,1.169798677163493,0.721,7.947,3.345133956386293,2.8951068499495163,0.902,14.662,3.8455015576323985,12.306594524157722,0.085,54.515,25.605679127725857,4.0584832965769655,15.213,35.37,0.0,0.0,0.0,0.0,4.621932087227414,3.641215666968031,1.4269,18.4893,2.212185046728972,2.0456106137351022,0.3311,9.6694
none,delayed_start,24,12,2,0.7588333333333334,0.11512287071785014,0.639,1.113,3.550125,2.739301391619848,0.791,8.679,5.559875,4.108181924261155,0.923,12.522,1.18775,0.9824300948690181,0.09,2.876,22.566208333333332,5.810434287287316,15.53,31.814,0.0,0.0,0.0,0.0,6.7994875,4.371104255698413,1.4113,14.1652,4.07625,3.0508415900905255,0.6607,10.1467
none,intermittent,24,12,2,0.7252500000000001,0.0601138412767266,0.649,0.83,2.9471666666666665,2.4116364039646476,0.767,6.621,4.697125,3.4553686434238133,0.931,10.387,0.9849166666666667,0.85726546629976,0.078,2.352,24.001791666666666,5.472058153288488,16.714,31.242,0.0,0.0,0.0,0.0,6.158558333333334,4.169108542802246,1.4257,12.7919,3.4631208333333334,2.6254752353214514,0.6246,8.4173
tc,bursty,24,12,2,0.7268333333333333,0.04983247297013106,0.644,0.804,3.2333333333333334,2.0805708804089798,0.823,6.495,5.514958333333333,2.3965014079253963,1.19,9.848,1.1676666666666666,0.6282609999498385,0.158,2.211,22.851,3.7740884416263207,17.486,31.253,0.0,0.0,0.0,0.0,7.443191666666666,2.8837323552038034,1.8478,12.5133,4.0424541666666665,1.8031321225263088,0.9643,7.9806
tc,constant,32,12,2,0.74621875,0.14285154359706623,0.603,1.154,2.9614375,2.6265888087329716,0.737,8.248,4.75265625,3.942749782292319,1.093,12.688,0.99896875,0.9475891135002521,0.103,3.123,24.516000000000002,6.158479273955701,15.773,33.442,0.0,0.0,0.0,0.0,5.787440625,3.950368164374407,1.6465,12.8288,3.503415625,2.9447959390509912,0.735,9.1937
tc,delayed_start,24,12,2,0.7632916666666667,0.11232928270768573,0.642,1.043,3.4644583333333334,2.5641400114245725,0.809,8.656,5.524291666666667,4.243161859204266,0.939,15.304,1.1379583333333334,0.9238116916702596,0.089,2.718,22.344083333333334,5.639264220558863,16.1,30.637,0.0,0.0,0.0,0.0,6.690125,4.337852357345791,1.4227,15.6803,4.064604166666666,3.1903692544197924,0.6174,12.4019
tc,intermittent,24,12,2,0.7211666666666667,0.052968954538744076,0.64,0.798,2.778,2.1127739441621376,0.779,6.208,4.36425,2.975358717869158,0.999,8.94,0.8514583333333333,0.7146872821254651,0.081,2.029,24.662541666666666,4.887715986368868,17.81,32.189,0.0,0.0,0.0,0.0,5.8032375,3.648592894803539,1.4933,11.3452,3.2151583333333336,2.2410401804435187,0.6568,7.2447
