timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,containers,iteration,failure_mode,tenant,requests,failures,p50_ms,p95_ms,p99_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,isolation_score
2026-03-22T13:07:25+05:30,exp_00139_nhigh_pconstant_mebpf_idcgroup_c3_fnone_it1,high,constant,ebpf,ip,true,rate_limit,3,1,none,tenant2,400,0,0.831,6.381,9.919,3.030,9.183,15.822,0,11.9362,38,1,8.0381
2026-03-22T13:14:02+05:30,exp_00146_nhigh_pbursty_mnone_idip_c3_fspike_it1,high,bursty,none,ip,false,none,3,1,spike,tenant1,400,0,0.796,6.577,9.900,2.166,4.690,17.592,0,12.4372,30,2,6.5089
2026-03-22T13:17:31+05:30,exp_00150_nhigh_pbursty_mtc_idip_c3_fspike_it1,high,bursty,tc,ip,false,none,3,1,spike,tenant2,400,0,0.787,5.954,9.848,2.013,4.050,17.890,0,12.5133,9,1,7.9806
2026-03-22T13:52:34+05:30,exp_00189_nhigh_pintermittent_madaptive_idip_c3_fnone_it1,high,intermittent,adaptive,ip,true,adaptive,3,1,none,tenant2,400,0,0.833,6.255,9.779,3.023,9.139,16.340,0,11.7395,17,1,7.9246
2026-03-22T13:07:25+05:30,exp_00139_nhigh_pconstant_mebpf_idcgroup_c3_fnone_it1,high,constant,ebpf,ip,true,rate_limit,3,1,none,tenant1,400,0,0.817,6.617,9.676,2.241,5.021,17.329,0,11.8433,13,1,6.3616
2026-03-22T13:53:30+05:30,exp_00190_nhigh_pintermittent_madaptive_idip_c3_fspike_it1,high,intermittent,adaptive,ip,true,adaptive,3,1,spike,tenant1,400,0,0.831,6.374,9.673,2.269,5.149,16.415,0,11.6402,23,1,6.3596
2026-03-22T10:47:57+05:30,exp_00037_nlow_pconstant_mnone_idip_c10_fspike_it2,low,constant,none,ip,false,none,10,2,spike,tenant9,400,0,0.769,2.757,9.611,1.546,2.390,18.825,0,12.4980,51,2,7.1035
2026-03-22T13:19:13+05:30,exp_00152_nhigh_pbursty_mtc_idcgroup_c3_fspike_it1,high,bursty,tc,ip,false,none,3,1,spike,tenant1,400,0,0.801,6.495,9.608,2.211,4.887,17.486,0,11.9950,21,2,6.3169
2026-03-22T13:40:22+05:30,exp_00175_nhigh_pdelayed_start_madaptive_idcgroup_c3_fnone_it1,high,delayed_start,adaptive,cgroup,true,adaptive,3,1,none,tenant1,400,0,0.830,5.728,9.596,2.015,4.060,16.772,0,11.5614,10,1,6.3090
2026-03-22T13:43:05+05:30,exp_00178_nhigh_pintermittent_mnone_idip_c3_fspike_it1,high,intermittent,none,ip,false,none,3,1,spike,tenant1,400,0,0.830,6.472,9.585,2.352,5.531,16.714,0,11.5482,35,2,6.3018
2026-03-22T13:49:53+05:30,exp_00186_nhigh_pintermittent_mebpf_idip_c3_fspike_it1,high,intermittent,ebpf,ip,true,rate_limit,3,1,spike,tenant1,400,0,0.811,6.452,9.572,2.466,6.081,17.931,0,11.8027,36,2,6.2932
2026-03-22T13:06:29+05:30,exp_00138_nhigh_pconstant_mebpf_idip_c3_fspike_it1,high,constant,ebpf,ip,true,rate_limit,3,1,spike,tenant1,400,0,0.944,6.628,9.559,2.282,5.210,15.764,0,10.1261,7,1,6.2847
2026-03-22T13:12:14+05:30,exp_00144_nhigh_pconstant_madaptive_idcgroup_c3_fspike_it1,high,constant,adaptive,cgroup,true,adaptive,3,1,spike,tenant1,400,0,0.964,6.585,9.556,2.411,5.811,16.106,0,9.9129,10,1,6.2827
2026-03-22T13:27:08+05:30,exp_00161_nhigh_pdelayed_start_mnone_idip_c3_fnone_it1,high,delayed_start,none,ip,false,none,3,1,none,tenant1,400,0,0.848,5.995,9.510,2.210,4.883,17.186,0,11.2146,30,2,6.2525
2026-03-22T13:09:21+05:30,exp_00141_nhigh_pconstant_madaptive_idip_c3_fnone_it1,high,constant,adaptive,ip,true,adaptive,3,1,none,tenant1,400,0,0.873,6.731,9.498,2.260,5.109,15.954,0,10.8797,105,1,6.2446
2026-03-22T13:23:37+05:30,exp_00157_nhigh_pbursty_madaptive_idip_c3_fnone_it1,high,bursty,adaptive,ip,true,adaptive,3,1,none,tenant1,400,0,0.807,6.430,9.487,2.143,4.594,18.150,0,11.7559,98,1,6.2373
2026-03-22T12:59:54+05:30,exp_00131_nhigh_pconstant_mnone_idcgroup_c3_fnone_it1,high,constant,none,ip,false,none,3,1,none,tenant2,400,0,0.925,6.141,9.453,2.217,4.915,17.212,0,10.2195,47,1,7.6605
2026-03-22T13:08:22+05:30,exp_00140_nhigh_pconstant_mebpf_idcgroup_c3_fspike_it1,high,constant,ebpf,ip,true,rate_limit,3,1,spike,tenant1,400,0,0.938,6.299,9.356,2.237,5.004,16.130,0,9.9744,1,2,6.1512
2026-03-22T13:01:47+05:30,exp_00133_nhigh_pconstant_mtc_idip_c3_fnone_it1,high,constant,tc,ip,false,none,3,1,none,tenant2,400,0,0.819,6.868,9.348,2.358,5.559,16.617,0,11.4139,70,1,7.5754
2026-03-22T13:30:54+05:30,exp_00165_nhigh_pdelayed_start_mtc_idip_c3_fnone_it1,high,delayed_start,tc,ip,false,none,3,1,none,tenant2,400,0,0.808,5.865,9.337,2.023,4.091,17.496,0,11.5557,19,1,7.5665
2026-03-22T13:24:34+05:30,exp_00158_nhigh_pbursty_madaptive_idip_c3_fspike_it1,high,bursty,adaptive,ip,true,adaptive,3,1,spike,tenant1,400,0,0.813,6.154,9.304,2.252,5.073,16.692,0,11.4440,28,2,6.1170
2026-03-22T13:29:02+05:30,exp_00163_nhigh_pdelayed_start_mnone_idcgroup_c3_fnone_it1,high,delayed_start,none,ip,false,none,3,1,none,tenant2,400,0,0.833,6.853,9.304,2.323,5.397,16.186,0,11.1693,58,2,7.5397
2026-03-22T13:01:46+05:30,exp_00133_nhigh_pconstant_mtc_idip_c3_fnone_it1,high,constant,tc,ip,false,none,3,1,none,tenant1,400,0,0.859,6.276,9.295,2.144,4.597,16.544,0,10.8207,7,2,6.1111
2026-03-22T13:29:02+05:30,exp_00163_nhigh_pdelayed_start_mnone_idcgroup_c3_fnone_it1,high,delayed_start,none,ip,false,none,3,1,none,tenant1,400,0,0.847,5.939,9.266,2.175,4.730,17.277,0,10.9398,122,2,6.0920
2026-03-22T13:26:14+05:30,exp_00160_nhigh_pbursty_madaptive_idcgroup_c3_fspike_it1,high,bursty,adaptive,cgroup,true,adaptive,3,1,spike,tenant1,400,0,0.793,5.933,9.248,1.895,3.590,18.648,0,11.6620,34,1,6.0802
2026-03-22T13:52:34+05:30,exp_00189_nhigh_pintermittent_madaptive_idip_c3_fnone_it1,high,intermittent,adaptive,ip,true,adaptive,3,1,none,tenant1,400,0,0.817,5.902,9.187,1.914,3.665,17.893,0,11.2448,18,1,6.0401
2026-03-22T13:20:58+05:30,exp_00154_nhigh_pbursty_mebpf_idip_c3_fspike_it1,high,bursty,ebpf,ip,true,rate_limit,3,1,spike,tenant2,400,0,0.810,6.673,9.177,2.354,5.541,17.166,0,11.3296,56,1,7.4368
2026-03-22T13:51:38+05:30,exp_00188_nhigh_pintermittent_mebpf_idcgroup_c3_fspike_it1,high,intermittent,ebpf,ip,true,rate_limit,3,1,spike,tenant1,400,0,0.788,5.223,9.177,1.676,2.810,19.610,0,11.6459,14,1,6.0335
2026-03-22T13:44:50+05:30,exp_00180_nhigh_pintermittent_mnone_idcgroup_c3_fspike_it1,high,intermittent,none,ip,false,none,3,1,spike,tenant1,400,0,0.809,6.087,9.098,2.075,4.305,16.787,0,11.2460,41,1,5.9816
2026-03-22T13:25:23+05:30,exp_00159_nhigh_pbursty_madaptive_idcgroup_c3_fnone_it1,high,bursty,adaptive,cgroup,true,adaptive,3,1,none,tenant1,400,0,0.792,5.748,9.094,1.924,3.702,19.613,0,11.4823,10,1,5.9790
2026-03-22T13:14:56+05:30,exp_00147_nhigh_pbursty_mnone_idcgroup_c3_fnone_it1,high,bursty,none,ip,false,none,3,1,none,tenant1,400,0,0.819,6.472,9.092,2.242,5.029,16.332,0,11.1013,44,1,5.9776
2026-03-22T13:38:27+05:30,exp_00173_nhigh_pdelayed_start_madaptive_idip_c3_fnone_it1,high,delayed_start,adaptive,ip,true,adaptive,3,1,none,tenant1,400,0,0.956,5.838,9.084,2.082,4.335,16.641,0,9.5021,86,1,5.9724
2026-03-22T13:55:16+05:30,exp_00192_nhigh_pintermittent_madaptive_idcgroup_c3_fspike_it1,high,intermittent,adaptive,cgroup,true,adaptive,3,1,spike,tenant2,400,0,0.794,6.064,9.061,2.015,4.061,18.460,0,11.4118,136,1,7.3428
2026-03-22T13:20:58+05:30,exp_00154_nhigh_pbursty_mebpf_idip_c3_fspike_it1,high,bursty,ebpf,ip,true,rate_limit,3,1,spike,tenant1,400,0,0.857,6.925,9.057,2.429,5.902,16.026,0,10.5683,39,2,5.9546
2026-03-22T13:14:02+05:30,exp_00146_nhigh_pbursty_mnone_idip_c3_fspike_it1,high,bursty,none,ip,false,none,3,1,spike,tenant2,400,0,0.809,6.719,9.052,2.164,4.683,16.931,0,11.1891,13,1,7.3355
2026-03-22T13:22:41+05:30,exp_00156_nhigh_pbursty_mebpf_idcgroup_c3_fspike_it1,high,bursty,ebpf,ip,true,rate_limit,3,1,spike,tenant1,400,0,0.800,5.998,9.044,1.861,3.465,18.067,0,11.3050,15,1,5.9461
2026-03-22T13:36:32+05:30,exp_00171_nhigh_pdelayed_start_mebpf_idcgroup_c3_fnone_it1,high,delayed_start,ebpf,ip,true,rate_limit,3,1,none,tenant1,400,0,0.846,6.055,9.021,2.035,4.141,16.751,0,10.6631,127,1,5.9310
2026-03-22T13:05:31+05:30,exp_00137_nhigh_pconstant_mebpf_idip_c3_fnone_it1,high,constant,ebpf,ip,true,rate_limit,3,1,none,tenant1,400,0,0.864,6.243,8.997,2.114,4.471,16.857,0,10.4132,19,1,5.9152
2026-03-22T13:48:08+05:30,exp_00184_nhigh_pintermittent_mtc_idcgroup_c3_fspike_it1,high,intermittent,tc,ip,false,none,3,1,spike,tenant2,400,0,0.788,6.208,8.940,2.029,4.116,17.810,0,11.3452,104,1,7.2447
2026-03-22T13:48:59+05:30,exp_00185_nhigh_pintermittent_mebpf_idip_c3_fnone_it1,high,intermittent,ebpf,ip,true,rate_limit,3,1,none,tenant1,400,0,0.789,5.926,8.917,1.971,3.884,18.009,0,11.3016,170,1,5.8626
2026-03-22T13:43:56+05:30,exp_00179_nhigh_pintermittent_mnone_idcgroup_c3_fnone_it1,high,intermittent,none,ip,false,none,3,1,none,tenant2,400,0,0.782,6.072,8.885,2.203,4.853,17.877,0,11.3619,60,1,7.2002
2026-03-22T13:43:56+05:30,exp_00179_nhigh_pintermittent_mnone_idcgroup_c3_fnone_it1,high,intermittent,none,ip,false,none,3,1,none,tenant1,400,0,0.800,6.074,8.877,1.964,3.855,18.220,0,11.0962,21,2,5.8363
2026-03-22T13:09:21+05:30,exp_00141_nhigh_pconstant_madaptive_idip_c3_fnone_it1,high,constant,adaptive,ip,true,adaptive,3,1,none,tenant2,400,0,0.874,5.928,8.817,2.110,4.450,15.473,0,10.0881,36,2,7.1451
2026-03-22T13:32:47+05:30,exp_00167_nhigh_pdelayed_start_mtc_idcgroup_c3_fnone_it1,high,delayed_start,tc,ip,false,none,3,1,none,tenant1,400,0,0.941,6.344,8.716,2.160,4.666,16.268,0,9.2625,46,1,5.7304
2026-03-22T13:11:17+05:30,exp_00143_nhigh_pconstant_madaptive_idcgroup_c3_fnone_it1,high,constant,adaptive,cgroup,true,adaptive,3,1,none,tenant1,400,0,1.017,6.107,8.668,2.043,4.176,17.235,0,8.5231,41,1,5.6989
2026-03-22T13:45:40+05:30,exp_00181_nhigh_pintermittent_mtc_idip_c3_fnone_it1,high,intermittent,tc,ip,false,none,3,1,none,tenant1,400,0,0.791,5.436,8.665,1.746,3.049,18.669,0,10.9545,8,1,5.6969
2026-03-22T13:50:47+05:30,exp_00187_nhigh_pintermittent_mebpf_idcgroup_c3_fnone_it1,high,intermittent,ebpf,ip,true,rate_limit,3,1,none,tenant2,400,0,0.782,5.415,8.645,2.089,4.362,18.713,0,11.0550,48,1,7.0057
2026-03-22T13:34:40+05:30,exp_00169_nhigh_pdelayed_start_mebpf_idip_c3_fnone_it1,high,delayed_start,ebpf,ip,true,rate_limit,3,1,none,tenant1,400,0,0.872,6.653,8.643,2.152,4.632,16.591,0,9.9117,7,1,5.6824
2026-03-22T13:45:40+05:30,exp_00181_nhigh_pintermittent_mtc_idip_c3_fnone_it1,high,intermittent,tc,ip,false,none,3,1,none,tenant2,400,0,0.789,5.359,8.611,1.682,2.830,19.293,0,10.9138,1,1,6.9781
2026-03-22T13:42:10+05:30,exp_00177_nhigh_pintermittent_mnone_idip_c3_fnone_it1,high,intermittent,none,ip,false,none,3,1,none,tenant2,400,0,0.784,6.304,8.577,1.914,3.664,18.374,0,10.9401,18,1,6.9506
2026-03-22T13:26:14+05:30,exp_00160_nhigh_pbursty_madaptive_idcgroup_c3_fspike_it1,high,bursty,adaptive,cgroup,true,adaptive,3,1,spike,tenant2,400,0,0.795,5.897,8.548,1.944,3.779,18.181,0,10.7522,6,1,6.9271
2026-03-22T13:24:34+05:30,exp_00158_nhigh_pbursty_madaptive_idip_c3_fspike_it1,high,bursty,adaptive,ip,true,adaptive,3,1,spike,tenant2,400,0,0.812,6.433,8.541,2.273,5.164,15.599,0,10.5185,29,1,6.9214
2026-03-22T10:39:17+05:30,exp_00034_nlow_pconstant_mnone_idip_c10_fnone_it4,low,constant,none,ip,false,none,10,4,none,tenant4,400,0,0.749,2.212,8.513,1.399,1.957,19.058,0,11.3658,125,2,4.9265
2026-03-22T13:54:23+05:30,exp_00191_nhigh_pintermittent_madaptive_idcgroup_c3_fnone_it1,high,intermittent,adaptive,cgroup,true,adaptive,3,1,none,tenant2,400,0,0.807,6.020,8.491,2.035,4.143,17.542,0,10.5217,47,1,6.8809
2026-03-22T13:48:08+05:30,exp_00184_nhigh_pintermittent_mtc_idcgroup_c3_fspike_it1,high,intermittent,tc,ip,false,none,3,1,spike,tenant1,400,0,0.787,5.953,8.461,1.794,3.217,19.731,0,10.7510,15,2,5.5628
2026-03-22T13:30:54+05:30,exp_00165_nhigh_pdelayed_start_mtc_idip_c3_fnone_it1,high,delayed_start,tc,ip,false,none,3,1,none,tenant1,400,0,0.828,6.511,8.447,2.140,4.578,16.324,0,10.2017,60,1,5.5536
2026-03-22T12:17:37+05:30,exp_00072_nmedium_pconstant_mtc_idcgroup_c3_fspike_it1,medium,constant,tc,ip,false,none,3,1,spike,tenant2,400,0,0.762,4.331,8.404,1.506,2.269,19.190,0,11.0289,8,1,6.8104
2026-03-22T13:46:28+05:30,exp_00182_nhigh_pintermittent_mtc_idip_c3_fspike_it1,high,intermittent,tc,ip,false,none,3,1,spike,tenant2,400,0,0.798,5.836,8.306,1.948,3.795,18.613,0,10.4085,144,1,6.7310
2026-03-22T13:15:48+05:30,exp_00148_nhigh_pbursty_mnone_idcgroup_c3_fspike_it1,high,bursty,none,ip,false,none,3,1,spike,tenant1,400,0,0.826,6.445,8.277,1.957,3.830,17.091,0,10.0206,109,1,5.4418
2026-03-22T13:27:08+05:30,exp_00161_nhigh_pdelayed_start_mnone_idip_c3_fnone_it1,high,delayed_start,none,ip,false,none,3,1,none,tenant2,400,0,0.785,5.981,8.273,2.043,4.175,16.545,0,10.5389,65,1,6.7042
2026-03-22T13:17:30+05:30,exp_00150_nhigh_pbursty_mtc_idip_c3_fspike_it1,high,bursty,tc,ip,false,none,3,1,spike,tenant1,400,0,0.803,6.257,8.217,2.170,4.709,17.660,0,10.2329,66,1,5.4024
2026-03-22T13:18:22+05:30,exp_00151_nhigh_pbursty_mtc_idcgroup_c3_fnone_it1,high,bursty,tc,ip,false,none,3,1,none,tenant2,400,0,0.780,6.257,8.202,1.981,3.923,18.824,0,10.5154,0,1,6.6467
2026-03-22T10:51:05+05:30,exp_00038_nlow_pconstant_mnone_idip_c10_fspike_it3,low,constant,none,ip,false,none,10,3,spike,tenant1,400,0,0.772,2.557,8.189,1.770,3.133,18.696,0,10.6075,273,1,5.3840
2026-03-22T10:56:56+05:30,exp_00040_nlow_pconstant_mnone_idip_c10_fspike_it5,low,constant,none,ip,false,none,10,5,spike,tenant2,400,0,0.750,2.741,8.149,1.274,1.623,18.921,0,10.8653,112,1,6.6037
2026-03-22T10:20:20+05:30,exp_00023_nlow_pconstant_mnone_idip_c5_fspike_it3,low,constant,none,ip,false,none,5,3,spike,tenant4,400,0,0.700,2.059,8.145,1.064,1.132,20.164,0,11.6357,19,1,4.7135
2026-03-22T11:13:29+05:30,exp_00052_nlow_pconstant_mnone_idcgroup_c3_fspike_it2,low,constant,none,ip,false,none,3,2,spike,tenant2,400,0,0.738,1.671,8.124,1.133,1.284,21.666,0,11.0081,160,2,6.5835
2026-03-22T13:19:13+05:30,exp_00152_nhigh_pbursty_mtc_idcgroup_c3_fspike_it1,high,bursty,tc,ip,false,none,3,1,spike,tenant2,400,0,0.775,5.682,8.015,1.760,3.099,19.502,0,10.3419,152,1,6.4951
2026-03-22T13:36:33+05:30,exp_00171_nhigh_pdelayed_start_mebpf_idcgroup_c3_fnone_it1,high,delayed_start,ebpf,ip,true,rate_limit,3,1,none,tenant2,400,0,0.894,5.768,8.009,1.930,3.725,16.624,0,8.9586,22,1,6.4903
